# ell_eff  corr_EE  corr_BB
3.650000e+01 8.080896e-06 1.464964e-06
4.650000e+01 5.317061e-06 1.975995e-06
5.650000e+01 2.730729e-06 6.257034e-07
6.650000e+01 1.647215e-06 2.766895e-07
7.650000e+01 8.477250e-07 8.907797e-08
8.650000e+01 5.084621e-07 -1.008642e-07
9.650000e+01 7.648959e-07 -1.401276e-08
1.065000e+02 3.711009e-07 -2.513843e-07
1.165000e+02 1.981829e-07 3.468525e-08
1.265000e+02 1.190299e-07 -9.559291e-08
1.365000e+02 7.509257e-08 6.929648e-08
1.465000e+02 -3.908135e-08 -4.276292e-08
1.565000e+02 2.493316e-07 -2.721008e-07
1.665000e+02 5.559968e-08 5.826997e-07
1.765000e+02 9.259210e-08 7.471804e-08
1.865000e+02 -2.019859e-07 -1.635944e-07
1.965000e+02 1.124749e-07 5.660324e-07
