# ell_eff  error_EE  error_BB
3.650000e+01 9.117319e-07 9.117319e-07
4.650000e+01 5.880365e-07 5.880365e-07
5.650000e+01 4.181797e-07 4.181797e-07
6.650000e+01 3.017140e-07 3.017140e-07
7.650000e+01 2.302572e-07 2.302572e-07
8.650000e+01 1.915816e-07 1.915816e-07
9.650000e+01 1.908735e-07 1.908735e-07
1.065000e+02 1.926230e-07 1.926230e-07
1.165000e+02 1.650810e-07 1.650810e-07
1.265000e+02 1.749035e-07 1.749035e-07
1.365000e+02 2.000073e-07 2.000073e-07
1.465000e+02 1.869748e-07 1.869748e-07
1.565000e+02 1.741541e-07 1.741541e-07
1.665000e+02 2.141888e-07 2.141888e-07
1.765000e+02 2.652425e-07 2.652425e-07
1.865000e+02 2.530777e-07 2.530777e-07
1.965000e+02 2.897564e-07 2.897564e-07
