# ell_eff  nl_EE  nl_BB
6.500000e+00 9.007927e-05 1.016979e-04
1.650000e+01 5.712322e-06 5.131566e-06
2.650000e+01 3.328345e-06 3.249770e-06
3.650000e+01 2.599888e-06 2.500034e-06
4.650000e+01 1.968103e-06 1.643789e-06
5.650000e+01 1.507326e-06 1.434022e-06
6.650000e+01 1.506765e-06 1.325525e-06
7.650000e+01 1.479076e-06 1.379551e-06
8.650000e+01 1.356959e-06 1.261254e-06
9.650000e+01 1.145944e-06 1.209847e-06
1.065000e+02 1.117353e-06 1.279637e-06
1.165000e+02 1.101384e-06 1.196684e-06
1.265000e+02 1.058458e-06 1.096968e-06
1.365000e+02 1.084065e-06 9.899443e-07
1.465000e+02 1.075214e-06 9.755327e-07
1.565000e+02 9.256872e-07 9.829149e-07
1.665000e+02 9.849996e-07 8.694096e-07
1.765000e+02 8.649707e-07 8.374101e-07
1.865000e+02 8.997300e-07 9.400950e-07
1.965000e+02 8.336295e-07 8.196053e-07
2.065000e+02 8.152250e-07 9.407563e-07
2.165000e+02 8.590706e-07 8.550687e-07
2.265000e+02 8.942395e-07 7.905345e-07
2.365000e+02 7.983148e-07 8.632876e-07
2.465000e+02 8.245317e-07 8.455174e-07
2.565000e+02 8.052989e-07 7.771845e-07
2.665000e+02 8.289555e-07 7.819939e-07
2.765000e+02 7.880317e-07 7.894999e-07
2.865000e+02 7.993236e-07 7.770810e-07
2.965000e+02 7.880251e-07 7.123940e-07
3.065000e+02 7.549306e-07 7.285198e-07
3.165000e+02 7.810552e-07 7.572529e-07
3.265000e+02 7.301695e-07 7.399037e-07
3.365000e+02 7.194494e-07 7.362465e-07
3.465000e+02 7.208564e-07 7.445540e-07
3.565000e+02 6.979820e-07 6.858171e-07
3.665000e+02 6.927711e-07 7.128469e-07
3.765000e+02 7.700843e-07 7.035169e-07
3.865000e+02 6.889322e-07 7.422991e-07
3.965000e+02 7.092425e-07 7.194900e-07
4.065000e+02 7.099773e-07 7.065017e-07
4.165000e+02 6.722720e-07 6.981584e-07
4.265000e+02 6.637208e-07 6.523076e-07
4.365000e+02 6.577823e-07 6.608706e-07
4.465000e+02 6.541495e-07 6.657990e-07
4.565000e+02 7.112790e-07 6.774463e-07
4.665000e+02 6.600304e-07 6.577498e-07
4.765000e+02 6.480445e-07 6.399656e-07
4.865000e+02 6.373080e-07 6.141404e-07
4.965000e+02 6.304476e-07 6.694054e-07
5.065000e+02 6.515717e-07 6.332172e-07
5.165000e+02 6.164603e-07 6.601031e-07
5.265000e+02 6.011146e-07 6.464756e-07
5.365000e+02 6.710458e-07 6.432073e-07
5.465000e+02 6.420899e-07 6.753519e-07
5.565000e+02 6.509133e-07 6.194942e-07
5.665000e+02 6.149752e-07 6.416615e-07
5.765000e+02 6.267120e-07 6.413510e-07
5.865000e+02 6.480717e-07 5.918269e-07
5.965000e+02 6.070867e-07 6.444330e-07
6.065000e+02 6.077015e-07 5.999718e-07
6.165000e+02 6.221061e-07 5.981839e-07
6.265000e+02 6.225954e-07 6.434711e-07
6.365000e+02 6.373577e-07 6.067508e-07
6.465000e+02 6.323663e-07 5.993123e-07
6.565000e+02 6.179939e-07 6.224269e-07
6.665000e+02 6.192747e-07 6.038225e-07
6.765000e+02 6.398903e-07 6.371455e-07
6.865000e+02 6.121523e-07 6.129671e-07
6.965000e+02 6.608553e-07 6.243461e-07
7.065000e+02 7.283691e-07 6.882558e-07
7.165000e+02 6.331827e-07 6.490241e-07
7.265000e+02 6.507274e-07 6.043110e-07
7.365000e+02 6.306935e-07 6.085090e-07
7.465000e+02 6.294997e-07 6.099852e-07
7.565000e+02 6.017329e-07 6.060053e-07
7.665000e+02 6.045049e-07 6.111307e-07
7.765000e+02 6.399221e-07 6.056225e-07
7.865000e+02 6.132791e-07 6.314777e-07
7.965000e+02 6.001536e-07 6.173479e-07
8.065000e+02 5.721076e-07 6.276415e-07
8.165000e+02 6.305050e-07 6.346317e-07
8.265000e+02 6.440136e-07 5.998209e-07
8.365000e+02 6.419025e-07 6.390470e-07
8.465000e+02 6.046352e-07 6.439062e-07
8.565000e+02 6.305533e-07 6.440631e-07
8.665000e+02 6.252307e-07 6.230015e-07
8.765000e+02 6.559592e-07 6.507768e-07
8.865000e+02 6.833030e-07 6.396337e-07
8.965000e+02 6.767986e-07 6.450701e-07
9.065000e+02 6.565727e-07 6.666726e-07
9.165000e+02 6.550905e-07 6.581030e-07
9.265000e+02 6.550512e-07 6.361279e-07
9.365000e+02 6.554710e-07 6.609683e-07
9.465000e+02 6.733855e-07 6.660681e-07
9.565000e+02 6.477213e-07 6.495892e-07
9.665000e+02 6.572824e-07 6.620532e-07
9.765000e+02 6.631865e-07 6.412240e-07
9.865000e+02 6.694542e-07 6.410384e-07
9.965000e+02 6.566199e-07 6.513656e-07
1.006500e+03 6.514956e-07 6.658807e-07
1.016500e+03 7.573215e-07 7.169699e-07
