# ell_eff  cl_EE  cl_BB
6.500000e+00 1.237242e-03 7.160100e-04
1.650000e+01 9.194775e-05 2.186578e-05
2.650000e+01 3.438379e-05 7.218456e-06
3.650000e+01 1.021352e-05 3.880289e-06
4.650000e+01 6.805800e-06 3.441636e-06
5.650000e+01 3.888240e-06 1.979571e-06
6.650000e+01 2.872276e-06 1.554896e-06
7.650000e+01 2.141895e-06 1.449199e-06
8.650000e+01 1.728918e-06 1.187468e-06
9.650000e+01 1.665269e-06 1.200333e-06
1.065000e+02 1.349308e-06 1.122510e-06
1.165000e+02 1.214483e-06 1.216478e-06
1.265000e+02 1.119956e-06 1.047579e-06
1.365000e+02 1.118890e-06 1.022081e-06
1.465000e+02 1.059086e-06 9.578857e-07
1.565000e+02 1.016443e-06 8.838714e-07
1.665000e+02 1.002690e-06 1.054812e-06
1.765000e+02 8.904850e-07 8.579991e-07
1.865000e+02 8.519854e-07 9.014251e-07
1.965000e+02 8.562141e-07 9.332628e-07
2.065000e+02 9.009367e-07 8.542281e-07
2.165000e+02 8.216975e-07 7.634813e-07
2.265000e+02 8.085754e-07 8.400729e-07
2.365000e+02 8.492272e-07 8.095970e-07
2.465000e+02 7.958552e-07 8.464509e-07
2.565000e+02 7.999791e-07 7.678359e-07
2.665000e+02 7.592615e-07 8.184148e-07
2.765000e+02 7.064358e-07 7.517962e-07
2.865000e+02 7.761957e-07 7.665515e-07
2.965000e+02 7.576280e-07 7.811594e-07
3.065000e+02 7.544690e-07 7.596206e-07
3.165000e+02 8.055988e-07 6.780004e-07
3.265000e+02 6.591737e-07 6.752693e-07
3.365000e+02 7.489786e-07 7.309854e-07
3.465000e+02 7.025159e-07 7.190004e-07
3.565000e+02 6.598121e-07 6.684422e-07
3.665000e+02 7.105037e-07 7.028924e-07
3.765000e+02 6.999455e-07 6.940944e-07
3.865000e+02 6.838207e-07 7.196775e-07
3.965000e+02 7.350253e-07 6.724460e-07
4.065000e+02 6.842195e-07 7.373888e-07
4.165000e+02 6.770926e-07 7.121100e-07
4.265000e+02 6.750558e-07 6.923237e-07
4.365000e+02 6.547915e-07 6.533968e-07
4.465000e+02 6.246809e-07 6.499783e-07
4.565000e+02 6.769156e-07 6.547598e-07
4.665000e+02 6.437361e-07 6.812137e-07
4.765000e+02 6.586088e-07 6.285656e-07
4.865000e+02 6.660018e-07 6.169743e-07
4.965000e+02 6.580555e-07 6.622454e-07
5.065000e+02 6.707401e-07 6.086211e-07
5.165000e+02 6.231885e-07 6.459843e-07
5.265000e+02 6.299739e-07 6.029015e-07
5.365000e+02 6.395850e-07 6.563686e-07
5.465000e+02 6.617607e-07 6.838364e-07
5.565000e+02 6.117199e-07 6.070698e-07
5.665000e+02 6.384173e-07 6.248079e-07
5.765000e+02 6.391798e-07 6.648373e-07
5.865000e+02 6.110318e-07 6.210461e-07
5.965000e+02 6.311691e-07 6.172313e-07
6.065000e+02 6.267815e-07 6.384860e-07
6.165000e+02 6.178379e-07 6.446396e-07
6.265000e+02 6.262884e-07 6.411952e-07
6.365000e+02 6.342398e-07 6.492219e-07
6.465000e+02 6.290486e-07 6.142020e-07
6.565000e+02 6.267955e-07 5.993393e-07
6.665000e+02 5.911369e-07 6.137029e-07
6.765000e+02 6.188789e-07 6.184830e-07
6.865000e+02 6.490839e-07 6.200414e-07
6.965000e+02 6.623726e-07 6.698931e-07
7.065000e+02 6.767872e-07 7.623328e-07
7.165000e+02 6.331157e-07 6.740469e-07
7.265000e+02 6.499620e-07 6.421071e-07
7.365000e+02 6.219654e-07 6.299365e-07
7.465000e+02 6.167970e-07 6.369409e-07
7.565000e+02 6.250009e-07 6.275873e-07
7.665000e+02 6.069839e-07 6.003115e-07
7.765000e+02 6.364874e-07 6.219462e-07
7.865000e+02 6.281940e-07 5.873045e-07
7.965000e+02 6.399247e-07 6.080406e-07
8.065000e+02 5.931431e-07 6.230662e-07
8.165000e+02 5.925704e-07 6.337259e-07
8.265000e+02 5.991823e-07 5.928428e-07
8.365000e+02 6.295606e-07 6.341089e-07
8.465000e+02 6.262649e-07 6.254046e-07
8.565000e+02 6.151558e-07 6.396556e-07
8.665000e+02 6.484068e-07 6.354751e-07
8.765000e+02 6.569214e-07 6.387849e-07
8.865000e+02 6.696525e-07 6.529942e-07
8.965000e+02 6.770634e-07 6.819387e-07
9.065000e+02 6.858325e-07 6.588483e-07
9.165000e+02 6.729671e-07 6.530972e-07
9.265000e+02 6.403064e-07 6.785674e-07
9.365000e+02 6.753025e-07 6.813276e-07
9.465000e+02 6.758320e-07 6.528174e-07
9.565000e+02 6.625761e-07 6.657023e-07
9.665000e+02 6.834062e-07 6.741981e-07
9.765000e+02 6.364502e-07 6.644975e-07
9.865000e+02 6.654609e-07 6.495174e-07
9.965000e+02 6.378638e-07 6.507073e-07
1.006500e+03 6.545314e-07 6.323652e-07
1.016500e+03 7.361805e-07 7.340332e-07
